Provider Ticket,Broker Ticket,Type,Currency,Standard Lots,Date Open,Date Close,Price Open,Price Close,Highest Profit (Pips),Worst Drawdown (Pips),Interest ($),Profit (Pips),Profit ($)
400.1559039535036,47094034,BUY,USD/CAD,0.01,2019/06/24 18:01:25 UTC,2019/06/24 21:00:02 UTC,1.31892,1.31759,2.5,-14.0,0.01,-13.3,-1.2
400.1559039611414,47095185,BUY,EUR/GBP,0.01,2019/06/25 02:29:22 UTC,2019/06/25 06:59:42 UTC,0.89445,0.89191,5.7,-25.4,0.0,-25.4,-3.45
400.1559039731574,47099105,BUY,EUR/JPY,0.01,2019/06/25 14:43:22 UTC,2019/06/25 18:23:59 UTC,121.751,121.812,28.4,-5.9,0.0,6.1,0.37
400.1559039770749,47100227,SELL,EUR/JPY,0.01,2019/06/25 18:41:33 UTC,2019/06/26 02:25:10 UTC,121.759,122.096,0.0,-34.0,0.0,-33.7,-3.34
400.1559039983819,47105669,BUY,EUR/AUD,0.01,2019/06/26 17:01:39 UTC,2019/06/27 04:29:47 UTC,1.6286,1.62284,0.6,-57.7,-0.28,-57.6,-4.51
400.1559040194779,47110421,BUY,EUR/AUD,0.01,2019/06/27 15:17:49 UTC,2019/06/28 16:56:40 UTC,1.62326,1.61957,21.6,-37.6,-0.14,-36.9,-2.93
400.1559044244781,47331112,BUY,EUR/AUD,0.01,2019/07/19 08:26:35 UTC,2019/07/19 13:17:19 UTC,1.5942,1.59002,1.1,-41.8,0.0,-41.8,-3.15
400.1567329601807,47689030,SELL,EUR/GBP,0.01,2019/09/03 16:37:52 UTC,2019/09/05 02:20:04 UTC,0.90665,0.90079,64.6,-19.5,0.08,58.6,7.05
400.1567330354773,47705658,BUY,USD/JPY,0.01,2019/09/06 15:06:00 UTC,2019/09/10 02:25:02 UTC,106.786,107.38,70.4,-4.1,0.06,59.4,5.39
400.1567946907784,47712337,SELL,EUR/AUD,0.01,2019/09/10 02:30:13 UTC,2019/09/11 09:52:41 UTC,1.61081,1.60506,57.5,-22.1,0.02,57.5,3.77
400.1567947385469,47720417,SELL,EUR/AUD,0.01,2019/09/12 00:07:44 UTC,2019/09/12 11:45:30 UTC,1.60052,1.60555,16.3,-87.2,0.0,-50.3,-3.67
400.1567947538557,47723935,SELL,EUR/AUD,0.01,2019/09/12 13:58:48 UTC,2019/09/12 15:50:32 UTC,1.60498,1.6098,22.5,-48.2,0.0,-48.2,-3.51
400.1567947563407,47724662,SELL,EUR/GBP,0.01,2019/09/12 16:00:48 UTC,2019/09/13 11:31:20 UTC,0.89573,0.89143,56.4,-20.9,0.02,43.0,5.17
400.1568728482574,47754390,BUY,EUR/AUD,0.01,2019/09/20 09:18:22 UTC,2019/09/20 11:47:12 UTC,1.62577,1.62316,14.5,-34.9,0.0,-26.1,-1.98
400.1568728509794,47754710,SELL,EUR/AUD,0.01,2019/09/20 11:47:30 UTC,2019/09/26 10:26:34 UTC,1.62379,1.61654,81.3,-61.8,0.1,72.5,4.8
400.1568729690418,47775723,SELL,USD/CHF,0.01,2019/09/26 19:43:26 UTC,2019/09/27 17:42:57 UTC,0.99429,0.99031,43.7,-6.8,-0.13,39.8,3.69
400.1569760679458,47784616,SELL,EUR/AUD,0.01,2019/09/30 16:43:51 UTC,2019/10/01 01:34:25 UTC,1.61609,1.6132,35.4,-9.0,0.02,28.9,1.77
400.1569760775136,47785861,BUY,USD/JPY,0.01,2019/10/01 01:50:13 UTC,2019/10/01 08:48:50 UTC,108.179,108.459,28.0,-3.2,0.0,28.0,2.38
400.1569760995130,47791429,SELL,GBP/USD,0.01,2019/10/01 21:03:24 UTC,2019/10/02 08:46:52 UTC,1.22988,1.22457,53.1,-14.5,0.0,53.1,5.11
400.1569761185904,47796243,BUY,GBP/USD,0.01,2019/10/02 14:09:21 UTC,2019/10/03 12:39:01 UTC,1.22881,1.23696,81.5,-23.2,-0.26,81.5,7.69
400.1569761502295,47803934,SELL,USD/JPY,0.01,2019/10/03 18:07:55 UTC,2019/10/07 16:49:12 UTC,106.835,107.174,26.5,-34.0,-0.22,-33.9,-3.58
400.1570366274243,47813883,SELL,USD/CHF,0.01,2019/10/07 16:55:11 UTC,2019/10/17 05:51:40 UTC,0.99466,0.99414,41.4,-49.7,-1.57,5.2,-1.25
400.1570368391566,47859687,SELL,EUR/AUD,0.01,2019/10/17 07:38:52 UTC,2019/10/17 10:51:52 UTC,1.63265,1.62661,65.8,-6.3,0.0,60.4,3.92
400.1570368535096,47863751,BUY,EUR/AUD,0.01,2019/10/17 19:58:27 UTC,2019/10/21 10:08:04 UTC,1.6301,1.62277,5.4,-73.3,-0.22,-73.3,-5.46
400.1570369014983,47870722,BUY,EUR/AUD,0.01,2019/10/21 10:19:15 UTC,2019/10/24 07:24:10 UTC,1.62292,1.62988,72.2,-23.0,-0.51,69.6,4.06
400.1570370456028,47893712,BUY,GBP/USD,0.01,2019/10/28 16:04:37 UTC,2019/10/29 08:58:15 UTC,1.28598,1.28283,11.2,-31.5,-0.08,-31.5,-3.43
400.1570370760277,47898759,SELL,USD/JPY,0.01,2019/10/29 20:13:24 UTC,2019/10/30 17:33:28 UTC,108.838,108.886,4.6,-13.7,-0.12,-4.8,-0.76
400.1570371000083,47902498,SELL,AUD/NZD,0.01,2019/10/30 18:18:31 UTC,2019/10/30 23:36:21 UTC,1.08137,1.07581,56.0,-8.1,0.01,55.6,3.38
400.1570371318074,47907967,BUY,EUR/JPY,0.01,2019/10/31 22:04:30 UTC,2019/11/04 14:02:13 UTC,120.471,120.966,63.3,-11.0,0.0,49.5,4.36
400.1572767886020,47914812,SELL,EUR/JPY,0.01,2019/11/04 14:03:30 UTC,2019/11/07 02:51:33 UTC,120.955,120.251,74.3,-34.7,0.01,70.4,6.28
400.1572768581446,47926391,BUY,USD/JPY,0.01,2019/11/07 05:27:01 UTC,2019/11/07 08:09:40 UTC,108.703,108.964,41.9,-0.8,0.0,26.1,2.2
400.1572768614078,47927296,SELL,EUR/JPY,0.01,2019/11/07 08:15:59 UTC,2019/11/08 17:59:24 UTC,120.646,120.33,42.6,-47.1,0.01,31.6,2.71
400.1573399702930,47935845,BUY,EUR/JPY,0.01,2019/11/11 05:02:41 UTC,2019/11/13 12:10:39 UTC,120.204,119.854,43.2,-35.0,-0.04,-35.0,-3.45
400.1573400302688,47947307,SELL,EUR/JPY,0.01,2019/11/13 12:42:11 UTC,2019/11/13 15:24:00 UTC,119.717,119.748,7.4,-14.6,0.0,-3.1,-0.48
400.1573400332541,47948151,BUY,AUD/CHF,0.01,2019/11/13 15:26:05 UTC,2019/11/14 07:19:44 UTC,0.6764,0.67201,8.2,-43.9,0.05,-43.9,-4.59
